,coef,Estimate,Std. Error,z value,Pr(>|z|),sig,model
0,(Intercept),-0.0081700,0.0351849,-0.232,0.81638,,model_1_auditory_Z
1,target_z,1.3459891,0.0143434,93.841,<2e-16,***,model_1_auditory_Z
2,stimulus_z,-0.0755761,0.0123376,-6.126,9.03e-10,***,model_1_auditory_Z
3,cue_z,0.1616038,0.0184403,8.764,<2e-16,***,model_1_auditory_Z
4,PPS_z,0.0075323,0.0190100,0.396,0.69194,,model_1_auditory_Z
5,block_type,0.0003727,0.0263433,0.014,0.98871,,model_1_auditory_Z
6,stim_1_z,-0.0481882,0.0159700,-3.017,0.00255,**,model_1_auditory_Z
7,resp_1_z,0.0932454,0.0157889,5.906,3.51e-09,***,model_1_auditory_Z
8,cue_z:PPS_z,-0.0303308,0.0093802,-3.233,0.00122,**,model_1_auditory_Z
9,cue_z:block_type,0.0604333,0.0249773,2.420,0.01554,*,model_1_auditory_Z
10,PPS_z:block_type,-0.0029306,0.0141915,-0.207,0.83640,,model_1_auditory_Z
11,PPS_z:resp_1_z,-0.0347357,0.0066758,-5.203,1.96e-07,***,model_1_auditory_Z
12,resp_1_z:block_type_z,-0.0176263,0.0125122,-1.409,0.15892,,model_1_auditory_Z
13,cue_z:resp_1_z,0.0100158,0.0123794,0.809,0.41847,,model_1_auditory_Z
14,cue_z:PPS_z:block_type,0.0113423,0.0133006,0.853,0.39379,,model_1_auditory_Z
15,PPS_z:resp_1_z:block_type_z,0.0029814,0.0066582,0.448,0.65431,,model_1_auditory_Z
16,cue_z:PPS_z:resp_1_z,-0.0107815,0.0066566,-1.620,0.10530,,model_1_auditory_Z
17,,,,,,,model_1_auditory_Z
